"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_1dosis","personas_pauta_completa","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_1dosis","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","porc_personas_1dosis_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_1dosis_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","personas_1dosis_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,23715,0,0,23715,23715,0,0,23715,1.784,2985,2985,0,0.225,12.587,2.142,2985,0.225,0,2985,0.225,0,2.142,2985,2985,0,0.225,0,0.225,0.264,0,0.264,2985,0,0.225,0,2985,2985,0,0.225,0,0.264,0,2985,0,0,0,0,-23.555,13.776,-23.469,NA
2021-01-06,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,NA,0,0,0,0,23715,0,0,23715,1.784,4586,4586,0,0.345,NA,2.646,1601,0.12,53.635,4586,0.345,53.635,2.646,4586,4586,0,NA,NA,0.345,NA,NA,0.405,1601,0,0.12,0,1601,4586,0,0.345,0,0.405,0,4586,53.635,53.635,NA,NA,-5.567,NA,NA,NA
2021-01-07,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,0,0,0,0,23715,0,0,23715,1.784,6186,6186,0,0.465,26.085,2.984,1600,0.12,34.889,6186,0.465,34.889,2.984,6186,6186,0,0.465,0,0.465,0.546,0,0.546,1600,0,0.12,0,1600,6186,0,0.465,0,0.546,0,6186,34.889,34.889,NA,NA,6.495,13.776,6.407,NA
2021-01-08,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,0,0,0,0,23715,0,0,23715,1.784,9944,9944,0,0.748,41.931,3.577,3758,0.283,60.75,9944,0.748,60.75,3.577,9944,9944,0,0.748,0,0.748,0.878,0,0.878,3758,0,0.283,0,3758,9944,0,0.748,0,0.878,0,9944,60.75,60.75,NA,NA,27.659,13.776,27.645,NA
2021-01-09,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,NA,0,0,0,0,23715,0,0,23715,1.784,10295,10295,0,0.774,NA,3.21,351,0.026,3.53,10295,0.774,3.53,3.21,10295,10295,0,NA,NA,0.774,NA,NA,0.909,351,0,0.026,0,351,10295,0,0.774,0,0.909,0,10295,3.53,3.53,NA,NA,14.561,NA,NA,NA
2021-01-10,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,NA,0,0,0,0,23715,0,0,23715,1.784,10647,10647,0,0.801,NA,2.93,352,0.026,3.419,10647,0.801,3.419,2.93,10647,10647,0,NA,NA,0.801,NA,NA,0.94,352,0,0.026,0,352,10647,0,0.801,0,0.94,0,10647,3.419,3.419,NA,NA,4.568,NA,NA,NA
2021-01-11,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,0,0,0,0,23715,0,0,23715,1.784,10998,10998,0,0.827,46.376,2.708,351,0.026,3.297,10998,0.827,3.297,2.708,10998,10998,0,0.827,0,0.827,0.971,0,0.971,351,0,0.026,0,351,10998,0,0.827,0,0.971,0,10998,3.297,3.297,NA,NA,-3.355,13.776,-3.388,NA
2021-01-12,"AR",1329391,2.802,1132764,2.823,23715,0,0,23715,1.784,3.188,0,0,0,0,0,0,0,0,0,11983,11983,0,0.901,50.529,2.455,985,0.074,8.956,8998,0.677,-18.185,2.58,11983,11983,0,0.901,0,0.901,1.058,0,1.058,985,0,0.074,0,985,8998,0,0.677,0,0.794,0,8998,8.956,-18.185,NA,NA,-12.384,13.776,-12.439,NA
2021-01-13,"AR",1329391,2.802,1132764,2.823,35415,0,0,35415,2.664,3.209,11700,0,0,11700,11700,0,0,11700,0.88,17043,17043,0,1.282,48.124,2.93,5060,0.381,42.226,12457,0.937,38.442,3.051,17043,17043,0,1.282,0,1.282,1.505,0,1.505,5060,0,0.381,0,5060,12457,0,0.937,0,1.1,0,12457,42.226,38.442,NA,NA,4.568,14.525,4.568,NA
2021-01-14,"AR",1329391,2.802,1132764,2.823,35415,0,1200,36615,2.754,3.214,0,0,1200,1200,11700,0,1200,12900,0.97,20854,20854,0,1.569,56.955,3.084,3811,0.287,22.361,14668,1.103,17.749,3.128,20854,20854,0,1.569,0,1.569,1.841,0,1.841,3811,0,0.287,0,3811,14668,0,1.103,0,1.295,0,14668,22.361,17.749,NA,NA,10.064,14.704,10.105,NA
