"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa"
2021-01-05,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,35550,0,0,35550,35550,0,0,35550,1.738,4092,4092,0,0.2,11.511,2.937,4092,0.2,0,4092,0,4092,0.2,0,2.937,4092,0,4092,0.2,0,0.238,0,4092,0,0.2,0,4092,0,0.2,0,0.238,0,0,0,0,0,-31.856,10.882,-31.973,NA
2021-01-06,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,NA,0,0,0,0,35550,0,0,35550,1.738,5879,5879,0,0.287,NA,3.392,1787,0.087,43.671,1787,0,5879,0.287,43.671,3.392,5879,0,5879,NA,NA,NA,NA,1787,0,0.087,0,5879,0,0.287,0,0.342,0,43.671,43.671,NA,NA,-21.299,NA,NA,NA
2021-01-07,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,0,0,0,0,35550,0,0,35550,1.738,7666,7666,0,0.375,21.564,3.698,1787,0.087,30.396,1787,0,7666,0.375,30.396,3.698,7666,0,7666,0.375,0,0.446,0,1787,0,0.087,0,7666,0,0.375,0,0.446,0,30.396,30.396,NA,NA,-14.2,10.882,-14.188,NA
2021-01-08,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,0,0,0,0,35550,0,0,35550,1.738,12380,12380,0,0.605,34.824,4.454,4714,0.23,61.492,4714,0,12380,0.605,61.492,4.454,12380,0,12380,0.605,0,0.72,0,4714,0,0.23,0,12380,0,0.605,0,0.72,0,61.492,61.492,NA,NA,3.341,10.882,3.242,NA
2021-01-09,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,NA,0,0,0,0,35550,0,0,35550,1.738,14656,14656,0,0.717,NA,4.57,2276,0.111,18.384,2276,0,14656,0.717,18.384,4.57,14656,0,14656,NA,NA,NA,NA,2276,0,0.111,0,14656,0,0.717,0,0.852,0,18.384,18.384,NA,NA,6.032,NA,NA,NA
2021-01-10,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,NA,0,0,0,0,35550,0,0,35550,1.738,16933,16933,0,0.828,NA,4.66,2277,0.111,15.536,2277,0,16933,0.828,15.536,4.66,16933,0,16933,NA,NA,NA,NA,2277,0,0.111,0,16933,0,0.828,0,0.984,0,15.536,15.536,NA,NA,8.121,NA,NA,NA
2021-01-11,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,0,0,0,0,35550,0,0,35550,1.738,19209,19209,0,0.939,54.034,4.73,2276,0.111,13.441,2276,0,19209,0.939,13.441,4.73,19209,0,19209,0.939,0,1.117,0,2276,0,0.111,0,19209,0,0.939,0,1.117,0,13.441,13.441,NA,NA,9.745,10.882,9.696,NA
2021-01-12,"CM",2045221,4.31,1719964,4.286,35550,0,0,35550,1.738,4.779,0,0,0,0,0,0,0,0,0,23342,23342,0,1.141,65.66,4.783,4133,0.202,21.516,4133,0,19250,0.941,0.213,5.52,23342,0,23342,1.141,0,1.357,0,4133,0,0.202,0,19250,0,0.941,0,1.119,0,21.516,0.213,NA,NA,10.974,10.882,10.884,NA
2021-01-13,"CM",2045221,4.31,1719964,4.286,53100,0,0,53100,2.596,4.811,17550,0,0,17550,17550,0,0,17550,0.858,26879,26879,0,1.314,50.62,4.621,3537,0.173,15.153,3537,0,21000,1.027,9.091,5.143,26879,0,26879,1.314,0,1.563,0,3537,0,0.173,0,21000,0,1.027,0,1.221,0,15.153,9.091,NA,NA,7.216,11.624,7.178,NA
2021-01-14,"CM",2045221,4.31,1719964,4.286,53100,0,1700,54800,2.679,4.81,0,0,1700,1700,17550,0,1700,19250,0.941,30613,30613,0,1.497,55.863,4.527,3734,0.183,13.892,3734,0,22947,1.122,9.271,4.894,30613,0,30613,1.497,0,1.78,0,3734,0,0.183,0,22947,0,1.122,0,1.334,0,13.892,9.271,NA,NA,5.035,11.601,5.053,NA
